time_s,load_MW,measured_frequency_Hz,model_frequency_Hz,measured_electrical_power_MW,model_electrical_power_MW,measured_gate_pu,model_gate_pu,measured_flow_m3s,model_flow_m3s,measured_penstock_inlet_Pa,measured_penstock_outlet_Pa,frequency_residual_Hz,power_residual_MW
32.05,74.98688520059362,50.02693294574445,50.01573934538847,75.05284079027037,75.01049009030918,0.5368976349585618,0.5362485850001236,22.06185340725312,22.025556353725626,3.739216309823352e6,3.734471544825501e6,0.011193600355980493,0.04235069996119023
32.1,74.98330280804925,50.02556325037409,50.013178017407114,75.03819253207526,75.00306543344219,0.5374257916133305,0.5363529953273735,22.066297891244844,22.029699377904915,3.7392357379994653e6,3.734507440056969e6,0.012385232966977355,0.035127098633068954
32.15,74.98220037226397,50.02241669626396,50.010712865878304,74.97889941508383,74.99826585738094,0.537172965719631,0.5364572382036554,22.069713896110496,22.03387749447602,3.7392530029949853e6,3.7345377618019064e6,0.011703830385656033,-0.019366442297112485
32.2,74.98360859977721,50.01800245156457,50.00833326276691,75.0047274497211,74.99610576205069,0.5369492018642075,0.5365611036382828,22.07180025080877,22.03807900242426,3.739300005689508e6,3.7346293379181535e6,0.00966918879765899,0.008621687670412825
32.25,74.98730772108408,50.01534474128778,50.00602913595817,74.97948704643457,74.99634989455183,0.5375357468327097,0.5366644224845271,22.08158202323169,22.042293263603312,3.739316888933062e6,3.734676042603695e6,0.009315605329604182,-0.016862848117256135
32.3,74.9928521352784,50.01189535988071,50.00379184500146,74.98094412164409,74.99853936070869,0.5375045981663539,0.5367670613949893,22.080443847891754,22.04651077386715,3.7393512494306364e6,3.7348269593015425e6,0.008103514879252316,-0.017595239064604584
32.35,74.99961124821733,50.01206820582753,50.00161492471703,75.01800937932136,75.00203362273677,0.5377025774426316,0.5368689109077575,22.08904847238862,22.050723146736132,3.7394164836518564e6,3.734898372916144e6,0.010453281110500257,0.015975756584580836
32.4,75.00682354518229,50.01323484755649,49.99949446327358,75.02650879385548,75.0060651711016,0.5377077402260654,0.5369698847559641,22.089882923253775,22.054923105568903,3.739409219825718e6,3.734982155112797e6,0.013740384282911577,0.02044362275388778
32.45,75.0136600272172,50.012229302307524,49.99743046232547,75.03718903120404,75.0098050187063,0.5378531894748486,0.5370699060608196,22.086342227197928,22.05910436322138,3.739438737390202e6,3.7350746899663443e6,0.014798839982056222,0.027384012497734034
32.5,75.01929249548854,50.007628100228466,49.99542640323201,75.0303446976122,75.01243033561465,0.5381574812285469,0.5371688989145987,22.09240152250937,22.06326147738911,3.739489222413696e6,3.735176781513595e6,0.012201696996456235,0.017914361997540595
32.55,75.02296183419203,50.00845634828929,49.99348906625238,75.01539287366917,75.01319244351099,0.5377031905914519,0.5372667755618279,22.100000037631084,22.06738943596859,3.7395223590533407e6,3.7353033214496975e6,0.014967282036913332,0.002200430158183053
32.6,75.02404144253288,50.00391441130055,49.99162841297219,75.03495429891127,75.0114800366906,0.537787289006527,0.537363433883939,22.098873001143765,22.071483591675875,3.739569037464913e6,3.735411917339265e6,0.012285998328358971,0.023474262220673836
