t,H_m,gate_pu,Q_measured_m3s,Q_model_m3s,P_measured_MW,P_model_MW,rolling_RMSE_Q_m3s,rolling_RMSE_P_MW,rolling_REL_RMSE_Q_pct,rolling_REL_RMSE_P_pct,model_health,static_upward_headroom_MW,screening_fcr_MW,trusted_screening_fcr_MW
97.0,392.8989794659484,0.0,0.10155427604988251,NaN,-0.23121457081804073,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
98.0,392.89908060427337,0.0,0.10108399743187327,NaN,-0.23092838264834503,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
99.0,392.896688224956,0.0,0.10041111128657071,NaN,-0.23093364991527188,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
100.0,392.8937627340806,0.0,0.10073054678466378,NaN,-0.2307352495276914,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
101.0,392.89146551513306,0.0,0.1016936102847593,NaN,-0.23036829659844957,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
102.0,392.88871242206716,0.0,0.1008017995707076,NaN,-0.2303068451509689,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
103.0,392.8853656241589,0.0,0.10101356305543224,NaN,-0.23079670097517202,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
104.0,392.8807682371493,0.0,0.10084251544844693,NaN,-0.2311127369907869,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
105.0,392.87663149298004,0.0,0.1007897280290663,NaN,-0.2311460963479908,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
106.0,392.87317976352307,0.0,0.10071141646019832,NaN,-0.23115136361491773,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
107.0,392.8691908957225,0.0,0.10100174726679181,NaN,-0.23134449673557134,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
108.0,392.86398031051664,0.0,0.1011288053576266,NaN,-0.23161663886012873,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
109.0,392.86015010851673,0.0,0.10142839442285176,NaN,-0.2315464086344365,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
110.0,392.85674323969965,0.0,0.1015854267653891,NaN,-0.23166580001811338,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
111.0,392.85247469384797,0.0,0.10143028699505824,NaN,-0.2322574896695702,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
112.0,392.84796230197753,0.0,0.10270726172842794,NaN,-0.2321082504399742,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
113.0,392.8437463818695,0.0,0.10281769587420583,NaN,-0.23217321339873948,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
114.0,392.83830017581477,0.0,0.10310480419298829,NaN,-0.23223290909057792,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
115.0,392.83356094008917,0.0,0.10306904992346594,NaN,-0.23204679899249364,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
116.0,392.82920748495496,0.0,0.10284322002369317,NaN,-0.23201695114657456,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
117.0,392.82516203017417,0.0,0.1032260822660033,NaN,-0.2318045047138557,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
118.0,392.8209645520737,0.0,0.10343861300973056,NaN,-0.23167457879632494,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
119.0,392.8151758213351,0.0,0.10339805058379176,NaN,-0.23145335358539446,NaN,NaN,NaN,NaN,NaN,OFFLINE,NaN,NaN,NaN
