t,p_in,p_out,h_tailwater_m,H,Q,dm,omega,omega_pu,tau_o,P_elec,P_mech,eta,n_rpm,P_elec_MW
80,4.018772139056121e6,164673.4075384006,24.88902975406797,392.87448843197967,0.10018251925438848,100.18251925438848,38.74647873431324,0.9866709788753533,0.0,-229903.0213532389,-233404.0825921207,NaN,370.0016170782575,-0.2299030213532389
81,4.01882095575437e6,164674.297847588,24.889263717554353,392.87937389467703,0.10060773419364354,100.60773419364354,38.74647961357502,0.9866710012655705,0.0,-229918.8231540196,-233420.12502946152,NaN,370.00162547458893,-0.2299188231540196
82,4.018839216815566e6,164674.38231759195,24.88967695575421,392.8812267582033,0.10120312717968091,101.20312717968092,38.74648061078655,0.9866710266593535,0.0,-230234.85916963455,-233740.97377627873,NaN,370.00163499725755,-0.23023485916963454
83,4.018886406290541e6,164674.0188406053,24.88995208944042,392.886074153918,0.10175637207117408,101.75637207117408,38.746482562318775,0.9866710763547136,0.0,-230378.83113230352,-233887.13820538428,NaN,370.0016536330176,-0.2303788311323035
84,4.0189108749071937e6,164672.9386484339,24.88992459143381,392.8886785177125,0.10201744473446744,102.01744473446745,38.746482530150665,0.9866710755355593,0.0,-230264.70701555363,-233771.27615792246,NaN,370.00165332583475,-0.23026470701555363
85,4.018929798911207e6,164670.97512806696,24.88983318744537,392.89080772509067,0.10236649643006186,102.36649643006186,38.74648370964816,0.9866711055712165,0.0,-230196.2325455038,-233701.75892944547,NaN,370.0016645892062,-0.23019623254550378
86,4.018960113478145e6,164666.50287185324,24.88966988922736,392.89435378249664,0.1021484414215157,102.1484414215157,38.74648378470709,0.9866711074825765,0.0,-230420.96926771884,-233929.91803829325,NaN,370.0016653059662,-0.23042096926771885
87,4.0189896445672093e6,164663.57434568388,24.88954422794578,392.8976626117763,0.1018831232584078,101.8831232584078,38.746483977715776,0.9866711123975023,0.0,-230563.18547474555,-234074.29997436097,NaN,370.00166714906334,-0.23056318547474555
88,4.0189812673807205e6,164661.31692555128,24.88975453392928,392.8970387823822,0.10252450063400255,102.52450063400255,38.74648468541427,0.9866711304188966,0.0,-231042.50676509488,-234560.9205737004,NaN,370.00167390708623,-0.23104250676509488
89,4.018988137878992e6,164658.91616238162,24.889958848726984,392.89798386509796,0.10344439302755033,103.44439302755033,38.74648626165185,0.9866711705574568,0.0,-231321.67191222153,-234844.33696672236,NaN,370.0016889590463,-0.23132167191222153
90,4.0190208631470753e6,164655.4701120008,24.890260251458624,392.9016710535244,0.10384996613633818,103.84996613633818,38.74648743042665,0.9866712003200626,0.0,-231283.04528809074,-234805.12211988907,NaN,370.0017001200235,-0.23128304528809074
91,4.019010557399667e6,164652.14250578525,24.890474551565976,392.90095972414696,0.10256951316215657,102.56951316215657,38.7464878057213,0.9866712098768626,0.0,-231332.2064460753,-234855.03192494952,NaN,370.00170370382347,-0.2313322064460753
92,4.0190094725841493e6,164649.04480690818,24.890479160170447,392.90116491103373,0.10237887487530423,102.37887487530422,38.74648589707989,0.9866711612737081,0.0,-231416.4827169059,-234940.59159076744,NaN,370.00168547764054,-0.2314164827169059
93,4.019012365425527e6,164648.2408293226,24.890770116731986,392.90154175292605,0.10168066918291502,101.68066918291501,38.74648363458923,0.9866711036598566,0.0,-231135.5618141371,-234655.39270470772,NaN,370.0016638724462,-0.23113556181413708
94,4.0190241778611518e6,164647.32701746182,24.891113918624644,392.9028390258603,0.10159089987960784,101.59089987960785,38.74648274460475,0.9866710809965878,0.0,-231005.63589660646,-234523.48821990503,NaN,370.00165537372044,-0.23100563589660647
95,4.019018331910869e6,164646.82508413272,24.891376455458676,392.9022942738773,0.10152813809319307,101.52813809319306,38.74648213341059,0.9866710654326564,0.0,-231207.54779547168,-234728.4749192606,NaN,370.0016495372461,-0.23120754779547167
96,4.019003265028694e6,164649.5155584729,24.89146555514489,392.9004841457922,0.10183243301363434,101.83243301363434,38.74648330218538,0.9866710951952622,0.0,-231184.72297212158,-234705.3025097681,NaN,370.0016606982233,-0.2311847229721216
97,4.018989162426978e6,164650.1738660241,24.891263237409124,392.8989794659484,0.10155427604988251,101.55427604988252,38.74648352736218,0.9866711009293422,0.0,-231214.57081804072,-234735.6048914119,NaN,370.0016628485033,-0.23121457081804073
98,4.0189914525930695e6,164651.47186514793,24.890846773186137,392.89908060427337,0.10108399743187327,101.08399743187327,38.74648301267237,0.9866710878228737,0.0,-230928.38264834502,-234445.0585262386,NaN,370.00165793357763,-0.23092838264834503
99,4.018969454945093e6,164652.9434582743,24.890426007598993,392.896688224956,0.10041111128657071,100.41111128657072,38.74648245509172,0.9866710736241993,0.0,-230933.64991527188,-234450.40600535215,NaN,370.0016526090747,-0.23093364991527188
100,4.018943841245396e6,164656.02882406532,24.88979816205148,392.8937627340806,0.10073054678466378,100.73054678466379,38.746481683057,0.9866710539644964,0.0,-230735.2495276914,-234248.98429207248,NaN,370.00164523668616,-0.2307352495276914
101,4.0189242542985673e6,164658.97759511162,24.889125152180252,392.89146551513306,0.1016936102847593,101.6936102847593,38.74647999959238,0.986671011095422,0.0,-230368.29659844958,-233876.44324715695,NaN,370.00162916078324,-0.23036829659844957
102,4.0189000267520286e6,164661.75789154955,24.88853924493333,392.88871242206716,0.1008017995707076,100.8017995707076,38.746480718013586,0.9866710293898677,0.0,-230306.84515096887,-233814.05599083134,NaN,370.0016360212004,-0.2303068451509689
103,4.0188676630891156e6,164662.22631611684,24.88786178007779,392.8853656241589,0.10101356305543224,101.01356305543224,38.74648294833614,0.9866710861845651,0.0,-230796.70097517202,-234311.371548398,NaN,370.0016573192119,-0.23079670097517202
104,4.0188229445828176e6,164662.6081763826,24.88731581406951,392.8807682371493,0.10084251544844693,100.84251544844693,38.746483816875205,0.9866711083017308,0.0,-231112.7369907869,-234632.22029521514,NaN,370.00166561314904,-0.2311127369907869
105,4.018782565338587e6,164662.8103924527,24.88697831060292,392.87663149298004,0.1007897280290663,100.7897280290663,38.74648290544532,0.9866710850923592,0.0,-231146.0963479908,-234666.08766293482,NaN,370.00165690963473,-0.2311460963479908
106,4.0187471882992378e6,164661.29481907634,24.886995055199137,392.87317976352307,0.10071141646019832,100.71141646019832,38.74648268026852,0.9866710793582792,0.0,-231151.36361491773,-234671.43514204846,NaN,370.0016547593547,-0.23115136361491773
107,4.018706206379719e6,164659.4436926816,24.887292310186762,392.8691908957225,0.10100174726679181,101.00174726679181,38.74648291616803,0.9866710853654108,0.0,-231344.49673557133,-234867.50937621456,NaN,370.00165701202906,-0.23134449673557134
108,4.018651603998715e6,164655.95715254676,24.887847339783818,392.86398031051664,0.1011288053576266,101.1288053576266,38.74648513576787,0.9866711418870566,0.0,-231616.63886012873,-235143.795797085,NaN,370.00167820764625,-0.23161663886012873
109,4.0186112247544862e6,164653.15218993687,24.888421725519606,392.86015010851673,0.10142839442285176,101.42839442285175,38.746485704071205,0.9866711563587823,0.0,-231546.40863443652,-235072.4960755701,NaN,370.0016836345434,-0.2315464086344365
110,4.0185741602243343e6,164649.50904288035,24.88902852510676,392.85674323969965,0.1015854267653891,101.5854267653891,38.74648840619276,0.9866712251677427,0.0,-231665.80001811337,-235193.70560214555,NaN,370.0017094379035,-0.23166580001811338
111,4.01852889931028e6,164646.12256363183,24.889643773802096,392.85247469384797,0.10143028699505824,101.43028699505824,38.74649260949295,0.986671332203903,0.0,-232257.48966957018,-235794.4057559088,NaN,370.0017495764636,-0.2322574896695702
112,4.018482794650822e6,164644.28446842227,24.890058855443748,392.84796230197753,0.10270726172842794,102.70726172842794,38.74649339225038,0.9866713521366574,0.0,-232108.25043997422,-235642.89384768956,NaN,370.0017570512465,-0.2321082504399742
113,4.018441149788488e6,164643.9977823483,24.89029266530998,392.8437463818695,0.10281769587420583,102.81769587420584,38.746493874772085,0.9866713644239716,0.0,-232173.21339873946,-235708.84609009084,NaN,370.0017616589894,-0.23217321339873948
114,4.0183877527580564e6,164644.02803331384,24.89009925754283,392.83830017581477,0.10310480419298829,103.10480419298828,38.74649475403386,0.9866713868141889,0.0,-232232.90909057792,-235769.4508533786,NaN,370.00177005532083,-0.23223290909057792
115,4.0183427329141144e6,164645.50009183952,24.88959016037021,392.83356094008917,0.10306904992346594,103.06904992346594,38.74649536522802,0.9866714023781203,0.0,-232046.79899249366,-235580.50659136413,NaN,370.00177589179515,-0.23204679899249364
